words,date
5461,2024-02-02
6294,2024-02-05
6294,2024-02-06
6294,2024-02-07
6294,2024-02-08
6294,2024-02-09
6628,2024-02-12
6628,2024-02-13
6628,2024-02-14
6683,2024-02-15
6683,2024-02-16
6683,2024-02-19
6683,2024-02-20
6683,2024-02-21
6683,2024-02-22
6683,2024-02-23
6683,2024-02-26
6683,2024-02-27
6683,2024-02-28
6683,2024-02-29
6683,2024-03-01
6683,2024-03-04
6683,2024-03-05
6683,2024-03-06
6683,2024-03-07
6683,2024-03-08
6683,2024-03-11
6683,2024-03-12
6683,2024-03-13
6683,2024-03-14
6683,2024-03-15
7078,2024-03-18
7078,2024-03-19
7078,2024-03-20
7078,2024-03-21
7548,2024-03-22
7548,2024-03-25
7548,2024-03-26
7548,2024-03-27
7548,2024-03-28
7548,2024-03-29
7626,2024-04-01
7626,2024-04-02
8240,2024-04-03
8240,2024-04-04
8336,2024-04-05
8336,2024-04-08
8336,2024-04-09
8336,2024-04-10
8336,2024-04-11
8336,2024-04-12
8336,2024-04-15
8336,2024-04-16
8336,2024-04-17
8336,2024-04-18
8336,2024-04-19
8336,2024-04-22
8336,2024-04-23
8336,2024-04-24
8336,2024-04-25
8336,2024-04-26
8336,2024-04-29
8336,2024-04-30
8336,2024-05-01
8336,2024-05-02
8336,2024-05-03
8336,2024-05-06
8336,2024-05-07
8336,2024-05-08
8336,2024-05-09
8336,2024-05-10
8336,2024-05-13
8336,2024-05-14
8336,2024-05-15
8336,2024-05-16
8336,2024-05-17
8336,2024-05-20
8336,2024-05-21
8336,2024-05-22
8336,2024-05-23
8336,2024-05-24
8336,2024-05-27
8336,2024-05-28
8336,2024-05-29
8336,2024-05-30
8336,2024-05-31
8336,2024-06-03
8336,2024-06-04
8336,2024-06-05
8395,2024-06-06
8395,2024-06-07
8395,2024-06-10
8885,2024-06-11
8885,2024-06-12
8885,2024-06-13
9436,2024-06-14
9411,2024-06-17
9921,2024-06-18
9973,2024-06-19
9973,2024-06-20
10079,2024-06-21
10158,2024-06-24
10819,2024-06-25
11052,2024-06-26
11316,2024-06-27
11974,2024-06-28
12362,2024-07-01
13343,2024-07-02
13041,2024-07-03
13737,2024-07-04
15412,2024-07-05
16788,2024-07-08
18765,2024-07-09
20986,2024-07-10
20913,2024-07-11
20913,2024-07-12
20913,2024-07-15
20913,2024-07-16
20913,2024-07-17
20913,2024-07-19
20913,2024-07-19
20913,2024-07-22
20913,2024-07-23
21010,2024-07-24
21010,2024-07-25
21010,2024-07-26
20120,2024-07-29
20188,2024-07-30
20184,2024-07-31
20049,2024-08-01
19542,2024-08-02
19421,2024-08-05
20139,2024-08-06
20244,2024-08-07
20147,2024-08-08
20160,2024-08-09
23218,2024-08-12
23557,2024-08-13
23561,2024-08-14
23571,2024-08-15
23722,2024-08-16
42018,2024-08-19
42132,2024-08-20
42132,2024-08-21
42618,2024-08-22
42678,2024-08-23
43204,2024-08-26
38978,2024-08-27
39908,2024-08-28
44714,2024-08-29
68353,2024-08-30
68353,2024-09-02
68353,2024-09-03
68214,2024-09-04
68214,2024-09-05
68214,2024-09-06
68214,2024-09-09
45558,2024-09-10
46640,2024-09-11
47598,2024-09-12
33124,2024-09-13
33254,2024-09-16
33066,2024-09-17
33066,2024-09-18
33548,2024-09-19
